T,th1,16%,50%,84%,Mean,STD
0.02,0.6967856593517798,0.6967856593517798,0.6967856593517798,0.6967856593517798,0.6967856593517798,0.0
0.04,0.6918937124114839,0.6918937124114839,0.6918937124114839,0.6918937124114839,0.6918937124114839,0.0
0.06,0.6904569345396439,0.6904569345396439,0.6904569345396439,0.6904569345396439,0.6904569345396439,0.0
0.08,0.720833210184479,0.720833210184479,0.720833210184479,0.720833210184479,0.720833210184479,0.0
0.1,0.7668863275866329,0.7668863275866329,0.7668863275866329,0.7668863275866329,0.7668863275866329,0.0
0.12000000000000001,1.638664553969484,1.638664553969484,1.638664553969484,1.638664553969484,1.638664553969484,0.0
0.13999999999999999,2.939700703107409,2.939700703107409,2.939700703107409,2.939700703107409,2.939700703107409,0.0
0.16,3.870238356482062,3.870238356482062,3.870238356482062,3.870238356482062,3.870238356482062,0.0
0.18,4.917206333721126,4.917206333721126,4.917206333721126,4.917206333721126,4.917206333721126,0.0
0.19999999999999998,7.232781862888949,7.232781862888949,7.232781862888949,7.232781862888949,7.232781862888949,0.0
0.22,6.235941228072221,6.235941228072221,6.235941228072221,6.235941228072221,6.235941228072221,0.0
0.24,9.075422906502244,9.075422906502244,9.075422906502244,9.075422906502244,9.075422906502244,0.0
0.26,14.109293936050754,14.109293936050754,14.109293936050754,14.109293936050754,14.109293936050754,0.0
0.28,20.60037589366322,20.60037589366322,20.60037589366322,20.60037589366322,20.60037589366322,0.0
0.30000000000000004,15.912561555252115,15.912561555252115,15.912561555252115,15.912561555252115,15.912561555252115,0.0
0.32,15.01958884384108,15.01958884384108,15.01958884384108,15.01958884384108,15.01958884384108,0.0
0.34,12.807999607164918,12.807999607164918,12.807999607164918,12.807999607164918,12.807999607164918,0.0
0.36000000000000004,12.484982790701139,12.484982790701139,12.484982790701139,12.484982790701139,12.484982790701139,0.0
0.38,16.569672278502125,16.569672278502125,16.569672278502125,16.569672278502125,16.569672278502125,0.0
0.4,26.519706933289214,26.519706933289214,26.519706933289214,26.519706933289214,26.519706933289214,0.0
0.42000000000000004,25.28992769320577,25.28992769320577,25.28992769320577,25.28992769320577,25.28992769320577,0.0
0.44,23.367161329675117,23.367161329675117,23.367161329675117,23.367161329675117,23.367161329675117,0.0
0.46,29.298077783474945,29.298077783474945,29.298077783474945,29.298077783474945,29.298077783474945,0.0
0.48000000000000004,42.09136722358629,42.09136722358629,42.09136722358629,42.09136722358629,42.09136722358629,0.0
0.5,52.88449137327341,52.88449137327341,52.88449137327341,52.88449137327341,52.88449137327341,0.0
0.52,51.29305973852013,51.29305973852013,51.29305973852013,51.29305973852013,51.29305973852013,0.0
0.54,45.19462373092031,45.19462373092031,45.19462373092031,45.19462373092031,45.19462373092031,0.0
0.56,43.21794722410037,43.21794722410037,43.21794722410037,43.21794722410037,43.21794722410037,0.0
0.5800000000000001,46.55815441044897,46.55815441044897,46.55815441044897,46.55815441044897,46.55815441044897,0.0
0.6,50.272588580159606,50.272588580159606,50.272588580159606,50.272588580159606,50.272588580159606,0.0
0.62,56.45918025776132,56.45918025776132,56.45918025776132,56.45918025776132,56.45918025776132,0.0
0.64,56.541946003661636,56.541946003661636,56.541946003661636,56.541946003661636,56.541946003661636,0.0
0.66,50.69337782977643,50.69337782977643,50.69337782977643,50.69337782977643,50.69337782977643,0.0
0.68,54.04723629232821,54.04723629232821,54.04723629232821,54.04723629232821,54.04723629232821,0.0
0.7000000000000001,61.11909187541834,61.11909187541834,61.11909187541834,61.11909187541834,61.11909187541834,0.0
0.7200000000000001,76.11306715098901,76.11306715098901,76.11306715098901,76.11306715098901,76.11306715098901,0.0
0.74,62.5156558428352,62.5156558428352,62.5156558428352,62.5156558428352,62.5156558428352,0.0
0.76,92.24886550383924,92.24886550383924,92.24886550383924,92.24886550383924,92.24886550383924,0.0
0.78,107.83887599967301,107.83887599967301,107.83887599967301,107.83887599967301,107.83887599967301,0.0
0.8,98.41615756704192,98.41615756704192,98.41615756704192,98.41615756704192,98.41615756704192,0.0
0.8200000000000001,93.85728140695647,93.85728140695647,93.85728140695647,93.85728140695647,93.85728140695647,0.0
0.8400000000000001,107.97194568387931,107.97194568387931,107.97194568387931,107.97194568387931,107.97194568387931,0.0
0.86,116.00444935293186,116.00444935293186,116.00444935293186,116.00444935293186,116.00444935293186,0.0
0.88,116.02601571156612,116.02601571156612,116.02601571156612,116.02601571156612,116.02601571156612,0.0
0.9,109.23039727026816,109.23039727026816,109.23039727026816,109.23039727026816,109.23039727026816,0.0
0.92,124.53835152202143,124.53835152202143,124.53835152202143,124.53835152202143,124.53835152202143,0.0
0.9400000000000001,125.40466569538131,125.40466569538131,125.40466569538131,125.40466569538131,125.40466569538131,0.0
0.9600000000000001,121.35859502628088,121.35859502628088,121.35859502628088,121.35859502628088,121.35859502628088,0.0
0.98,140.33948789087972,140.33948789087972,140.33948789087972,140.33948789087972,140.33948789087972,0.0
1.0,148.55739034477088,148.55739034477088,148.55739034477088,148.55739034477088,148.55739034477088,0.0
1.02,146.22931418923818,146.22931418923818,146.22931418923818,146.22931418923818,146.22931418923818,0.0
1.04,145.23145278352075,145.23145278352075,145.23145278352075,145.23145278352075,145.23145278352075,0.0
1.06,144.730531704418,144.730531704418,144.730531704418,144.730531704418,144.730531704418,0.0
1.08,145.08002250757812,145.08002250757812,145.08002250757812,145.08002250757812,145.08002250757812,0.0
1.1,146.9605491218592,146.9605491218592,146.9605491218592,146.9605491218592,146.9605491218592,0.0
1.12,150.9009456684817,150.9009456684817,150.9009456684817,150.9009456684817,150.9009456684817,0.0
1.1400000000000001,157.14997467400835,157.14997467400835,157.14997467400835,157.14997467400835,157.14997467400835,0.0
1.1600000000000001,165.04637567410137,165.04637567410137,165.04637567410137,165.04637567410137,165.04637567410137,0.0
1.18,173.5584292465557,173.5584292465557,173.5584292465557,173.5584292465557,173.5584292465557,0.0
1.2,181.4550575683253,181.4550575683253,181.4550575683253,181.4550575683253,181.4550575683253,0.0
1.22,187.4938819498399,187.4938819498399,187.4938819498399,187.4938819498399,187.4938819498399,0.0
1.24,190.9389584007754,190.9389584007754,190.9389584007754,190.9389584007754,190.9389584007754,0.0
1.26,191.5597830886511,191.5597830886511,191.5597830886511,191.5597830886511,191.5597830886511,0.0
1.28,189.68346820611524,189.68346820611524,189.68346820611524,189.68346820611524,189.68346820611524,0.0
1.3,185.95204183741515,185.95204183741515,185.95204183741515,185.95204183741515,185.95204183741515,0.0
1.32,181.224144847403,181.224144847403,181.224144847403,181.224144847403,181.224144847403,0.0
1.34,176.48189090214106,176.48189090214106,176.48189090214106,176.48189090214106,176.48189090214106,0.0
1.36,172.54356563029094,172.54356563029094,172.54356563029094,172.54356563029094,172.54356563029094,0.0
1.3800000000000001,170.07753882880672,170.07753882880672,170.07753882880672,170.07753882880672,170.07753882880672,0.0
1.4000000000000001,169.80825242105539,169.80825242105539,169.80825242105539,169.80825242105539,169.80825242105539,0.0
1.4200000000000002,172.07956346140608,172.07956346140608,172.07956346140608,172.07956346140608,172.07956346140608,0.0
1.44,176.80464452006936,176.80464452006936,176.80464452006936,176.80464452006936,176.80464452006936,0.0
1.46,183.52408553185245,183.52408553185245,183.52408553185245,183.52408553185245,183.52408553185245,0.0
1.48,191.68430016728857,191.68430016728857,191.68430016728857,191.68430016728857,191.68430016728857,0.0
1.5,200.33727530553574,200.33727530553574,200.33727530553574,200.33727530553574,200.33727530553574,0.0
1.52,208.9208404396011,208.9208404396011,208.9208404396011,208.9208404396011,208.9208404396011,0.0
1.54,216.67325006598077,216.67325006598077,216.67325006598077,216.67325006598077,216.67325006598077,0.0
1.56,223.09626796092883,223.09626796092883,223.09626796092883,223.09626796092883,223.09626796092883,0.0
1.58,227.804885557513,227.804885557513,227.804885557513,227.804885557513,227.804885557513,0.0
1.6,230.63703260663326,230.63703260663326,230.63703260663326,230.63703260663326,230.63703260663326,0.0
1.62,231.43186420903035,231.43186420903035,231.43186420903035,231.43186420903035,231.43186420903035,0.0
1.6400000000000001,230.12960644177798,230.12960644177798,230.12960644177798,230.12960644177798,230.12960644177798,0.0
1.6600000000000001,226.89886954265444,226.89886954265444,226.89886954265444,226.89886954265444,226.89886954265444,0.0
1.6800000000000002,221.89506974839168,221.89506974839168,221.89506974839168,221.89506974839168,221.89506974839168,0.0
1.7,215.27825085895836,215.27825085895836,215.27825085895836,215.27825085895836,215.27825085895836,0.0
1.72,207.3384248509941,207.3384248509941,207.3384248509941,207.3384248509941,207.3384248509941,0.0
1.74,198.39592025787974,198.39592025787974,198.39592025787974,198.39592025787974,198.39592025787974,0.0
1.76,188.7820178979962,188.7820178979962,188.7820178979962,188.7820178979962,188.7820178979962,0.0
1.78,178.82342322561027,178.82342322561027,178.82342322561027,178.82342322561027,178.82342322561027,0.0
1.8,168.8287348939416,168.8287348939416,168.8287348939416,168.8287348939416,168.8287348939416,0.0
1.82,159.1092223971578,159.1092223971578,159.1092223971578,159.1092223971578,159.1092223971578,0.0
1.84,150.03430620197915,150.03430620197915,150.03430620197915,150.03430620197915,150.03430620197915,0.0
1.86,141.87099759988715,141.87099759988715,141.87099759988715,141.87099759988715,141.87099759988715,0.0
1.8800000000000001,134.84881797192938,134.84881797192938,134.84881797192938,134.84881797192938,134.84881797192938,0.0
1.9000000000000001,129.22028208896836,129.22028208896836,129.22028208896836,129.22028208896836,129.22028208896836,0.0
1.9200000000000002,125.0423750939982,125.0423750939982,125.0423750939982,125.0423750939982,125.0423750939982,0.0
1.94,122.39125415214896,122.39125415214896,122.39125415214896,122.39125415214896,122.39125415214896,0.0
1.96,121.2159146771944,121.2159146771944,121.2159146771944,121.2159146771944,121.2159146771944,0.0
1.98,121.4207104749577,121.4207104749577,121.4207104749577,121.4207104749577,121.4207104749577,0.0
2.0,122.82248896521696,122.82248896521696,122.82248896521696,122.82248896521696,122.82248896521696,0.0
2.02,125.19950596393062,125.19950596393062,125.19950596393062,125.19950596393062,125.19950596393062,0.0
2.04,128.39204218111524,128.39204218111524,128.39204218111524,128.39204218111524,128.39204218111524,0.0
2.06,132.12337568995784,132.12337568995784,132.12337568995784,132.12337568995784,132.12337568995784,0.0
2.08,136.18880989559707,136.18880989559707,136.18880989559707,136.18880989559707,136.18880989559707,0.0
2.1,140.39240934937658,140.39240934937658,140.39240934937658,140.39240934937658,140.39240934937658,0.0
2.12,144.5918655187024,144.5918655187024,144.5918655187024,144.5918655187024,144.5918655187024,0.0
2.14,148.63623757312934,148.63623757312934,148.63623757312934,148.63623757312934,148.63623757312934,0.0
2.16,152.3572229585641,152.3572229585641,152.3572229585641,152.3572229585641,152.3572229585641,0.0
2.18,155.75614209739157,155.75614209739157,155.75614209739157,155.75614209739157,155.75614209739157,0.0
2.2,158.67444086268583,158.67444086268583,158.67444086268583,158.67444086268583,158.67444086268583,0.0
2.22,161.08312606860017,161.08312606860017,161.08312606860017,161.08312606860017,161.08312606860017,0.0
2.24,162.9951014085852,162.9951014085852,162.9951014085852,162.9951014085852,162.9951014085852,0.0
2.2600000000000002,164.34981785924614,164.34981785924614,164.34981785924614,164.34981785924614,164.34981785924614,0.0
2.2800000000000002,165.15164178768572,165.15164178768572,165.15164178768572,165.15164178768572,165.15164178768572,0.0
2.3000000000000003,165.41195968914664,165.41195968914664,165.41195968914664,165.41195968914664,165.41195968914664,0.0
2.3200000000000003,165.1490041990594,165.1490041990594,165.1490041990594,165.1490041990594,165.1490041990594,0.0
2.34,164.40694866758042,164.40694866758042,164.40694866758042,164.40694866758042,164.40694866758042,0.0
2.36,163.19605473272895,163.19605473272895,163.19605473272895,163.19605473272895,163.19605473272895,0.0
2.38,161.5266179268408,161.5266179268408,161.5266179268408,161.5266179268408,161.5266179268408,0.0
2.4,161.87968996166165,161.87968996166165,161.87968996166165,161.87968996166165,161.87968996166165,0.0
2.42,165.56036739851405,165.56036739851405,165.56036739851405,165.56036739851405,165.56036739851405,0.0
2.44,168.90089960995465,168.90089960995465,168.90089960995465,168.90089960995465,168.90089960995465,0.0
2.46,171.89086295097198,171.89086295097198,171.89086295097198,171.89086295097198,171.89086295097198,0.0
2.48,174.58282453198103,174.58282453198103,174.58282453198103,174.58282453198103,174.58282453198103,0.0
2.5,176.92610416614565,176.92610416614565,176.92610416614565,176.92610416614565,176.92610416614565,0.0
2.52,178.92806806364052,178.92806806364052,178.92806806364052,178.92806806364052,178.92806806364052,0.0
2.54,180.64616266185575,180.64616266185575,180.64616266185575,180.64616266185575,180.64616266185575,0.0
2.56,182.04260660518253,182.04260660518253,182.04260660518253,182.04260660518253,182.04260660518253,0.0
2.58,183.1183687293425,183.1183687293425,183.1183687293425,183.1183687293425,183.1183687293425,0.0
2.6,183.9323849809743,183.9323849809743,183.9323849809743,183.9323849809743,183.9323849809743,0.0
2.62,184.45791215434414,184.45791215434414,184.45791215434414,184.45791215434414,184.45791215434414,0.0
2.64,184.69468678620262,184.69468678620262,184.69468678620262,184.69468678620262,184.69468678620262,0.0
2.66,184.71723116112386,184.71723116112386,184.71723116112386,184.71723116112386,184.71723116112386,0.0
2.68,184.46152246269094,184.46152246269094,184.46152246269094,184.46152246269094,184.46152246269094,0.0
2.7,184.01338545182006,184.01338545182006,184.01338545182006,184.01338545182006,184.01338545182006,0.0
2.72,183.32457424425763,183.32457424425763,183.32457424425763,183.32457424425763,183.32457424425763,0.0
2.74,182.46855315804606,182.46855315804606,182.46855315804606,182.46855315804606,182.46855315804606,0.0
2.7600000000000002,181.39051840059153,181.39051840059153,181.39051840059153,181.39051840059153,181.39051840059153,0.0
2.7800000000000002,180.19832160974278,180.19832160974278,180.19832160974278,180.19832160974278,180.19832160974278,0.0
2.8000000000000003,178.8199176929387,178.8199176929387,178.8199176929387,178.8199176929387,178.8199176929387,0.0
2.8200000000000003,177.30813397136345,177.30813397136345,177.30813397136345,177.30813397136345,177.30813397136345,0.0
2.84,175.70066592568926,175.70066592568926,175.70066592568926,175.70066592568926,175.70066592568926,0.0
2.86,173.96538519516218,173.96538519516218,173.96538519516218,173.96538519516218,173.96538519516218,0.0
2.88,172.12996393596865,172.12996393596865,172.12996393596865,172.12996393596865,172.12996393596865,0.0
2.9,170.26178767309565,170.26178767309565,170.26178767309565,170.26178767309565,170.26178767309565,0.0
2.92,168.31743485955974,168.31743485955974,168.31743485955974,168.31743485955974,168.31743485955974,0.0
2.94,166.31399487810577,166.31399487810577,166.31399487810577,166.31399487810577,166.31399487810577,0.0
2.96,164.2675060911164,164.2675060911164,164.2675060911164,164.2675060911164,164.2675060911164,0.0
2.98,162.2366257063317,162.2366257063317,162.2366257063317,162.2366257063317,162.2366257063317,0.0
3.0,160.18976157111496,160.18976157111496,160.18976157111496,160.18976157111496,160.18976157111496,0.0
3.02,158.1372041786985,158.1372041786985,158.1372041786985,158.1372041786985,158.1372041786985,0.0
